,Unnamed: 0,Longitude,Latitude,Hour,Day,DoW,Month,isDay,Accident,District Name_Ciutat Vella,District Name_Eixample,District Name_Gràcia,District Name_Horta-Guinardó,District Name_Les Corts,District Name_Nou Barris,District Name_Sant Andreu,District Name_Sant Martí,District Name_Sants-Montjuïc,District Name_Sarrià-Sant Gervasi
0,0,2.1823759999999996,41.39968,2,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0
1,1,2.1513299999999997,41.400771,4,1,6,1,0,1,0,0,0,0,0,0,0,0,0,1
2,2,2.166464,41.412769,6,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0
3,3,2.1932490000000002,41.397908,7,1,6,1,1,1,0,0,0,0,0,0,0,1,0,0
4,4,2.157359,41.39331,7,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0
5,5,2.1663759999999996,41.393276,10,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0
6,6,2.1846240000000003,41.401695000000004,10,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0
7,7,2.1651990000000003,41.385158000000004,11,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0
8,8,2.1839720000000002,41.423153000000006,12,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0
9,9,2.211914,41.415181,12,1,6,1,1,1,0,0,0,0,0,0,0,1,0,0
10,10,2.143206,41.352396,13,1,6,1,1,1,0,0,0,0,0,0,0,0,1,0
11,11,2.142907,41.380251,14,1,6,1,1,1,0,0,0,0,0,0,0,0,1,0
12,12,2.164884,41.39216500000001,15,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0
13,13,2.201548,41.391096999999995,15,1,6,1,1,1,0,0,0,0,0,0,0,1,0,0
14,14,2.142907,41.380251,16,1,6,1,1,1,0,0,0,0,0,0,0,0,1,0
15,15,2.18148,41.398601,16,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0
16,16,2.166306,41.43925,17,1,6,1,1,1,0,0,0,0,0,1,0,0,0,0
17,17,2.199774,41.421282,17,1,6,1,1,1,0,0,0,0,0,0,0,1,0,0
18,18,2.2068380000000003,41.40351500000001,19,1,6,1,1,1,0,0,0,0,0,0,0,1,0,0
19,19,2.203262,41.415467,19,1,6,1,1,1,0,0,0,0,0,0,0,1,0,0
20,20,2.151249,41.39265,19,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0
21,21,2.150274,41.394436999999996,22,1,6,1,0,1,0,0,0,0,0,0,0,0,0,1
22,22,2.15045,41.374497,6,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
23,23,2.106528,41.382695,7,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0
24,24,2.130864,41.380458000000004,9,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
25,25,2.162445,41.423321,10,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0
26,26,2.167786,41.407591,10,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0
27,27,2.150978,41.401731,13,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1
28,28,2.153928,41.382222,14,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0
29,29,2.138761,41.355074,16,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
30,30,2.145552,41.375106,17,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
31,31,2.181123,41.404365999999996,17,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0
32,32,2.175769,41.445142,18,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0
33,33,2.161244,41.413562,18,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0
34,34,2.144837,41.399892,19,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1
35,35,2.179477,41.377111,19,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0
36,36,2.20242,41.392322,20,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0
37,37,2.147046,41.421836,22,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0
38,38,2.166375,41.400128,22,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0
39,39,2.182434,41.399724,23,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0
40,40,2.221113,41.407563,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0
41,41,2.176656,41.374429,5,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0
42,42,2.13414,41.39934,7,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1
43,43,2.15919,41.423202,7,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0
